iso3,female,year,varnum,v06_type,v06_type_desc,median,upperci_95,lowerci_95,serving,s_lowerci_95,s_upperci_95,score
PSE,0,2015,6,1,1: Foods & Beverages,1.0886614316501615,35.5906528349941,10.5438395813048,0.70503569,0.3752256,1.2665713,0
PSE,0,2018,6,1,1: Foods & Beverages,1.0712834062509045,35.1774477194441,10.2086397436162,0.69115293,0.36316752,1.2514211,0
QAT,0,1990,6,1,1: Foods & Beverages,0.543237428866375,11.6738626981607,2.79280355449156,0.19910017,0.099000484,0.41382003,0
QAT,0,1995,6,1,1: Foods & Beverages,0.588355916838909,14.5266476259182,3.54425649732583,0.24991903,0.12559378,0.51476431,0
QAT,0,2000,6,1,1: Foods & Beverages,0.6915243721546712,19.8508458788357,4.97517712847919,0.34953028,0.17623724,0.70318264,0
QAT,0,2005,6,1,1: Foods & Beverages,0.7273714392555681,20.1575553631131,5.01482302811135,0.36181429,0.17751586,0.71354181,0
QAT,0,2010,6,1,1: Foods & Beverages,1.0048698450088662,34.3536412228962,8.5247863343016,0.62132072,0.30133566,1.2143387,0
QAT,0,2015,6,1,1: Foods & Beverages,1.1444450128685608,40.0319797770368,10.472374496168,0.74967796,0.37017936,1.4150575,0
QAT,0,2018,6,1,1: Foods & Beverages,1.128502768115917,39.7161648367871,10.2826551111335,0.73625112,0.3633447,1.403398,0
SAU,0,1990,6,1,1: Foods & Beverages,0.3827336939984568,4.51555769610136,1.14720371700403,0.079457015,0.040825754,0.160696,0
SAU,0,1995,6,1,1: Foods & Beverages,0.4158651871683925,6.34859541233663,1.6422212707008,0.11188325,0.058379713,0.22568773,0
SAU,0,2000,6,1,1: Foods & Beverages,0.6278939253544666,12.2846067098028,3.17217125365824,0.21647477,0.11268815,0.43639812,0
SAU,0,2005,6,1,1: Foods & Beverages,0.6217684206648908,10.9362216874432,2.84490769127021,0.19646247,0.10095485,0.3880845,0
SAU,0,2010,6,1,1: Foods & Beverages,0.9307974006878718,20.9932948520101,5.64766325739476,0.38777068,0.20034279,0.74470717,0
SAU,0,2015,6,1,1: Foods & Beverages,1.491790058869589,43.6966259731356,13.4410905046646,0.88270938,0.47646546,1.5489765,0
SAU,0,2018,6,1,1: Foods & Beverages,1.494038808306478,45.4459517011851,14.0615938716488,0.92660284,0.4982847,1.6104164,0
SDN,0,1990,6,1,1: Foods & Beverages,0.3023233228171054,5.69721829205724,1.5776065698939,0.10354745,0.056222618,0.20303701,0
SDN,0,1995,6,1,1: Foods & Beverages,0.3087627952632769,5.60334292317067,1.49860995798483,0.099160783,0.053407341,0.19969149,0
SDN,0,2000,6,1,1: Foods & Beverages,0.34011156853447455,7.21778650346193,1.93506105378624,0.12888642,0.068961553,0.25722688,0
SDN,0,2005,6,1,1: Foods & Beverages,0.4528622325996291,11.9584810168221,3.3919975598836,0.21992622,0.12084067,0.42602354,0
SDN,0,2010,6,1,1: Foods & Beverages,0.6503918804773601,19.4397386468797,5.74412814223041,0.36807996,0.20456296,0.69229841,0
SDN,0,2015,6,1,1: Foods & Beverages,0.6670736814065297,20.9811128423419,5.97973829992377,0.39297867,0.21287782,0.74692464,0
SDN,0,2018,6,1,1: Foods & Beverages,0.7315205002421926,26.0465981060777,7.94690254444201,0.50720268,0.28280792,0.92692518,0
SYR,0,1990,6,1,1: Foods & Beverages,0.49064495641462613,9.36689006560059,2.37671268415018,0.16690938,0.084701099,0.33381647,0
SYR,0,1995,6,1,1: Foods & Beverages,0.5347594576536444,11.690872147839,3.08751498463732,0.21407925,0.10991509,0.4161934,0
SYR,0,2000,6,1,1: Foods & Beverages,0.6295788101889521,16.5004555442701,4.40579390098982,0.30109572,0.15678981,0.58720481,0
SYR,0,2005,6,1,1: Foods & Beverages,0.6521896005908432,16.7717898399822,4.50619601285554,0.30800942,0.1603058,0.59664851,0
SYR,0,2010,6,1,1: Foods & Beverages,0.9199303924709117,28.5867296308094,8.4189549869393,0.55569053,0.29939383,1.0165977,0
SYR,0,2015,6,1,1: Foods & Beverages,1.1010835559243568,36.1081346118062,10.4711702975362,0.71009415,0.37184554,1.2822491,0
SYR,0,2018,6,1,1: Foods & Beverages,1.086014709975671,35.0965815640424,10.412085671487,0.69985121,0.36961609,1.245885,0
TUN,0,1990,6,1,1: Foods & Beverages,0.28404729689820296,7.45551654622884,3.55147643687451,0.18371074,0.12625228,0.26503792,0
TUN,0,1995,6,1,1: Foods & Beverages,0.29219611807248896,7.42009022658606,3.5193059882534,0.18239963,0.12493099,0.26340398,0
TUN,0,2000,6,1,1: Foods & Beverages,0.3874898437505569,11.3946877925637,5.47088060495664,0.28155503,0.19400285,0.40406692,0
TUN,0,2005,6,1,1: Foods & Beverages,0.33759829381516937,8.0120926751557,3.78564686751231,0.19620323,0.13419521,0.28401604,0
TUN,0,2010,6,1,1: Foods & Beverages,0.404662531147661,8.84528464989641,4.19862055457003,0.21763679,0.14883448,0.3135514,0
TUN,0,2015,6,1,1: Foods & Beverages,0.40973138670076437,10.2486997994483,4.85963614393374,0.251252,0.17238864,0.36355799,0
TUN,0,2018,6,1,1: Foods & Beverages,0.3888162808283379,9.56317311075493,4.53516235999883,0.23462594,0.16082136,0.33911961,0
YEM,0,1990,6,1,1: Foods & Beverages,0.5034041610629643,4.49518785031705,0.922689941882334,0.070373967,0.032976769,0.16065718,0
YEM,0,1995,6,1,1: Foods & Beverages,0.40168461443369274,2.77481018533256,0.617496746449475,0.046127334,0.022045583,0.099064983,0
YEM,0,2000,6,1,1: Foods & Beverages,0.6015187075917582,8.1045241962731,1.92442951382484,0.13756371,0.068607114,0.28893134,0
YEM,0,2005,6,1,1: Foods & Beverages,0.5302060388552633,7.37638346703662,1.80218066227824,0.12948604,0.064203091,0.26278532,0
YEM,0,2010,6,1,1: Foods & Beverages,0.5348461414436125,5.44404283066637,1.31544154203991,0.092432559,0.046829533,0.19380715,0
YEM,0,2015,6,1,1: Foods & Beverages,0.3710822498905411,3.53399365229182,0.769200481736835,0.057580993,0.027373683,0.12576489,0
YEM,0,2018,6,1,1: Foods & Beverages,0.41113006549566977,7.40257256716077,1.70393341923021,0.12170967,0.060616627,0.26334304,0
